SDG target,SDG,Color
1,1,#DF2947
2,1,#DF2947
3,1,#DF2947
4,1,#DF2947
5,1,#DF2947
6,1,#DF2947
7,1,#DF2947
8,2,#E2B24C
9,2,#E2B24C
10,2,#E2B24C
11,2,#E2B24C
12,2,#E2B24C
13,2,#E2B24C
14,2,#E2B24C
15,2,#E2B24C
16,3,#559E54
17,3,#559E54
18,3,#559E54
19,3,#559E54
20,3,#559E54
21,3,#559E54
22,3,#559E54
23,3,#559E54
24,3,#559E54
25,3,#559E54
26,3,#559E54
27,3,#559E54
28,3,#559E54
29,4,#C22431
30,4,#C22431
31,4,#C22431
32,4,#C22431
33,4,#C22431
34,4,#C22431
35,4,#C22431
36,4,#C22431
37,4,#C22431
38,4,#C22431
39,5,#EA423C
40,5,#EA423C
41,5,#EA423C
42,5,#EA423C
43,5,#EA423C
44,5,#EA423C
45,5,#EA423C
46,5,#EA423C
47,5,#EA423C
48,6,#3DBDE1
49,6,#3DBDE1
50,6,#3DBDE1
51,6,#3DBDE1
52,6,#3DBDE1
53,6,#3DBDE1
54,6,#3DBDE1
55,6,#3DBDE1
56,7,#F9C137
57,7,#F9C137
58,7,#F9C137
59,7,#F9C137
60,7,#F9C137
61,8,#982846
62,8,#982846
63,8,#982846
64,8,#982846
65,8,#982846
66,8,#982846
67,8,#982846
68,8,#982846
69,8,#982846
70,8,#982846
71,8,#982846
72,8,#982846
73,9,#F06F3E
74,9,#F06F3E
75,9,#F06F3E
76,9,#F06F3E
77,9,#F06F3E
78,9,#F06F3E
79,9,#F06F3E
80,9,#F06F3E
81,10,#D7266B
82,10,#D7266B
83,10,#D7266B
84,10,#D7266B
85,10,#D7266B
86,10,#D7266B
87,10,#D7266B
88,10,#D7266B
89,10,#D7266B
90,10,#D7266B
91,11,#F7A042
92,11,#F7A042
93,11,#F7A042
94,11,#F7A042
95,11,#F7A042
96,11,#F7A042
97,11,#F7A042
98,11,#F7A042
99,11,#F7A042
100,11,#F7A042
101,12,#C79A45
102,12,#C79A45
103,12,#C79A45
104,12,#C79A45
105,12,#C79A45
106,12,#C79A45
107,12,#C79A45
108,12,#C79A45
109,12,#C79A45
110,12,#C79A45
111,12,#C79A45
112,13,#44834B
113,13,#44834B
114,13,#44834B
115,13,#44834B
116,13,#44834B
117,14,#319FB3
118,14,#319FB3
119,14,#319FB3
120,14,#319FB3
121,14,#319FB3
122,14,#319FB3
123,14,#319FB3
124,14,#319FB3
125,14,#319FB3
126,14,#319FB3
127,15,#66BB57
128,15,#66BB57
129,15,#66BB57
130,15,#66BB57
131,15,#66BB57
132,15,#66BB57
133,15,#66BB57
134,15,#66BB57
135,15,#66BB57
136,15,#66BB57
137,15,#66BB57
138,15,#66BB57
139,16,#216F98
140,16,#216F98
141,16,#216F98
142,16,#216F98
143,16,#216F98
144,16,#216F98
145,16,#216F98
146,16,#216F98
147,16,#216F98
148,16,#216F98
149,16,#216F98
150,16,#216F98
151,17,#19496A
152,17,#19496A
153,17,#19496A
154,17,#19496A
155,17,#19496A
156,17,#19496A
157,17,#19496A
158,17,#19496A
159,17,#19496A
160,17,#19496A
161,17,#19496A
162,17,#19496A
163,17,#19496A
164,17,#19496A
165,17,#19496A
166,17,#19496A
167,17,#19496A
168,17,#19496A
169,17,#19496A
